Position,Organic Position,Searchquery,Device,Title,Description,Pixeldistance from top,Snippet Pixel Height,URL,domain,Sitename,URL Preview,Custom Favicon,Title truncated,Description truncated,Has sitelinks,Has rich results,Has image,location,date,time
1,-,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,SERP Feature | Videos,-,187,387,-,-,-,-,-,-,-,-,-,-,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
2,1,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Isi Kuliah Umum di Universitas Kristen Maranatha, Ganjar ...","Oct 11, 2023 — Bacapres 2024, Ganjar Pranowo kembali mengisi kuliah umum di perguruan tinggi Kota Bandung, Rabu (11/10/2023) di Universitas Kristen Maranatha.",620,139,https://jabar.tribunnews.com/2023/10/11/isi-kuliah-umum-di-universitas-kristen-maranatha-ganjar-minta-perempuan-tidak-menikah-dini,jabar.tribunnews.com,tribunnews.com,https://jabar.tribunnews.com › ... › Pilpres,yes,TRUE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
3,2,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Pranowo Jelaskan Program Gaspol di Hadapan ...,"Oct 15, 2023 — Ganjar Pranowo Jelaskan Program Gaspol di Hadapan Mahasiswa Universitas Maranatha ... Universitas Kristen Maranatha, Bandung, Jawa Barat, Rabu (11/10/2023). Foto ...",789,139,https://nasional.sindonews.com/read/1226427/12/ganjar-pranowo-jelaskan-program-gaspol-di-hadapan-mahasiswa-universitas-maranatha-1697357425,nasional.sindonews.com,sindonews.com,https://nasional.sindonews.com › read,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
4,3,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Kunjungi Universitas Kristen Maranatha, Ganjar Pranowo ...","Oct 11, 2023 — Bakal calon presiden (Bacapres) 2024, Ganjar Pranowo mengenalkan program Gaspol saat mengisi kuliah umum di Universitas Kristen Maranatha bertajuk ...",958,117,https://daerah.sindonews.com/read/1223363/701/kunjungi-universitas-kristen-maranatha-ganjar-pranowo-kenalkan-program-gaspol-1697015407,daerah.sindonews.com,sindonews.com,https://daerah.sindonews.com › read,yes,TRUE,TRUE,FALSE,FALSE,FALSE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
5,4,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Isi Kuliah Umum Universitas Maranatha, Ganjar Ingatkan ...","Oct 11, 2023 — ... Universitas Kristen Maranatha. BACA JUGA: Ini 3 Faktor yang Membuat Ganjar ... Universitas Maranatha · #Pemilu 2024. Video Rekomendasi. TPST Bantargebang ...",1105,139,https://news.okezone.com/read/2023/10/11/525/2899320/isi-kuliah-umum-universitas-maranatha-ganjar-ingatkan-perempuan-tak-menikah-dini,news.okezone.com,okezone.com,https://news.okezone.com › read › i...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
6,5,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Terima Kasih Universitas Maranatha ...,"20 hours ago — Terima Kasih Universitas Maranatha, Terima Kasih Universitas Parahyangan - Karya Wisata Episode 2. ... Universitas Kristen Maranatha. Beliau memaparakan kegiatan ...",1273,139,https://bpkpenabur.or.id/tangerang/smak-penabur-gading-serpong/berita/berita-bpk-penabur-jakarta/terima-kasih-universitas-maranatha-terima-kasih-universitas-parahyangan-karya-wisata-episode-2,bpkpenabur.or.id,bpkpenabur.or.id,https://bpkpenabur.or.id › berita › t...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
7,6,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,"Isi Kuliah Umum Universitas Maranatha, Ganjar Serukan ...","Oct 11, 2023 — Isi Kuliah Umum Universitas Maranatha, Ganjar Serukan Perempuan Tak Nikah Dini ... Sementara itu, Rektor Universitas Kristen Maranatha, Prof Sri Widiyantoro ...",1442,139,https://jabar.inews.id/berita/isi-kuliah-umum-universitas-maranatha-ganjar-serukan-perempuan-tak-nikah-dini,jabar.inews.id,inews.id,https://jabar.inews.id › berita › isi-k...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
8,7,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Ganjar Serukan Jangan Nikah Muda di Universitas Kristen ...,"Oct 11, 2023 — Setelah sebelumnya menjadi pemateri di Universitas Parahyangan (UNPAR), kali ini Ganjar Pranowo memberikan materi kuliahnya di Universitas Kristen Maranatha.",1611,139,https://bandungraya.inews.id/read/356106/ganjar-serukan-jangan-nikah-muda-di-universitas-kristen-maranatha,bandungraya.inews.id,inews.id,https://bandungraya.inews.id › read,yes,TRUE,FALSE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
9,8,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Momen Ganjar Pranowo Dicuekin Mahasiswi Saat Datang ...,"Oct 16, 2023 — Viral di media sosial, Ganjar Pranowo dicuekin seorang mahasiswi saat berkunjung ke Universitas Kristen Maranatha. Video itu pun mendapatkan beragam respon ...",1780,139,https://www.viva.co.id/trending/1647694-momen-ganjar-pranowo-dicuekin-mahasiswi-saat-datang-ke-kantin-universitas-kristen-maranatha,www.viva.co.id,viva.co.id,https://www.viva.co.id › trending,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
10,9,"“universitas kristen maranatha” OR ""universitas maranatha"" OR ""uk maranatha"" -site:*.maranatha.edu -site:kemdikbud.go.id -site:linkedin.com -site:twitter.com -site:instagram.com -site:lldikti4.or.id -site:facebook.com -site:tiktok.com -site:olx.co.id -site:slideshare.net -site:rumah123.com -site:tiket.com -site:expedia.co.id -site:traveloka.com -site:wikipedia.org -intitle:hotel",desktop,Cara ke Universitas Kristen Maranatha di Kota Bandung ...,"Oct 22, 2023 — Stasiun Bandung (Lokal) berjarak 4013 meter , dengan berjalan 52 menit. Jalur Bis mana yang berhenti dekat Universitas Kristen Maranatha. Jalur Bis ini berhenti ...",1949,139,https://moovitapp.com/index/id/Tranportasi_Umum-Universitas_Kristen_Maranatha-Bandung-site_18002739-4486,moovitapp.com,moovitapp.com,https://moovitapp.com › index › Tr...,yes,TRUE,TRUE,FALSE,FALSE,TRUE,"Indonesia Sukasari, Bandung City, West Java",11/3/2023,14:06
