Doc,Topic,Dominance,Keywords,Document_Text_Content
0,0,0.9858,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['isi', 'kuliah', 'umum', 'ganjar', 'bacapres', 'ganjar', 'pranowo', 'mengisi', 'kuliah', 'umum', 'perguruan', 'kota']"
1,0,0.7707,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['ganjar', 'pranowo', 'program_gaspol', 'hadapan', 'ganjar', 'pranowo', 'program_gaspol', 'hadapan', 'mahasiswa', 'jawa_barat', 'foto']"
2,0,0.9869,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['kunjungi', 'ganjar', 'pranowo', 'calon_presiden', 'bacapres', 'ganjar', 'pranowo', 'mengenalkan', 'program_gaspol', 'mengisi', 'kuliah', 'umum', 'bertajuk']"
3,2,0.6273,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['isi', 'kuliah', 'umum', 'ganjar', 'ingatkan', 'baca', 'faktor', 'ganjar', 'pemilu', 'video', 'rekomendasi', 'tpst', 'bantargebang']"
4,1,0.9819,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['terima_kasih', 'terima_kasih', 'terima_kasih', 'parahyangan', 'karya', 'wisata', 'episode', 'beliau', 'memaparakan', 'kegiatan']"
5,0,0.9893,"ganjar, umum, kuliah, pranowo, program_gaspol, isi, mengisi, mahasiswa, calon_presiden, jakarta","['isi', 'kuliah', 'umum', 'ganjar', 'serukan', 'isi', 'kuliah', 'umum', 'ganjar', 'serukan', 'perempuan', 'nikah', 'rektor', 'prof', 'sri', 'widiyantoro']"
6,1,0.9835,"ganjar, pranowo, kuliah, umum, muda, swasta, fakultas_kedokteran, terima_kasih, ajak, politik","['ganjar', 'serukan', 'nikah', 'muda', 'pemateri', 'parahyangan', 'unpar', 'ganjar', 'pranowo', 'materi', 'kuliahnya']"
7,6,0.9891,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['momen', 'ganjar', 'pranowo', 'dicuekin_mahasiswi', 'viral', 'media', 'sosial', 'ganjar', 'pranowo', 'dicuekin_mahasiswi', 'berkunjung', 'video', 'beragam', 'respon']"
8,6,0.9848,"ganjar, pranowo, jawa_barat, umum, kuliah, program, mahasiswa, momen, keluarga_miskin, kemiskinan","['kota', 'stasiun', 'lokal', 'berjarak', 'meter', 'berjalan', 'jalur_bis', 'berhenti', 'jalur_bis', 'berhenti']"
9,2,0.9873,"karya, mode, batik_lasem, kuliah, mahasiswa, indonesia, tim, penghargaan, seoul, sama","['widyatama', 'borong', 'penghargaan', 'kerja', 'sama', 'peringkat_harapan', 'peringkat_harapan', 'institut_teknologi_nasional', 'hasil', 'penilaian', 'tim', 'juri', 'kategori', 'kerja', 'sama']"
